Month,Product,Region,Sales
Jan,50% Dark Bites,Australia,8386
Jan,50% Dark Bites,Canada,20818
Jan,50% Dark Bites,New Zealand,9835
Jan,50% Dark Bites,UK,6083
Jan,50% Dark Bites,USA,10486
Jan,70% Dark Bites,Australia,4235
Jan,70% Dark Bites,Canada,9632
Jan,70% Dark Bites,India,14168
Jan,70% Dark Bites,New Zealand,22512
Jan,70% Dark Bites,UK,13972
Jan,85% Dark Bars,Australia,15197
Jan,85% Dark Bars,Canada,4200
Jan,85% Dark Bars,India,13419
Jan,85% Dark Bars,New Zealand,16604
Jan,85% Dark Bars,UK,27993
Jan,85% Dark Bars,USA,14161
Jan,99% Dark & Pure,Australia,2583
Jan,99% Dark & Pure,Canada,22253
Jan,99% Dark & Pure,India,24129
Jan,99% Dark & Pure,New Zealand,308
Jan,99% Dark & Pure,UK,9730
Jan,99% Dark & Pure,USA,19544
Jan,After Nines,Canada,1820
Jan,After Nines,India,29946
Jan,After Nines,New Zealand,15155
Jan,After Nines,UK,9709
Jan,After Nines,USA,36547
Jan,Almond Choco,Australia,3332
Jan,Almond Choco,India,2380
Jan,Almond Choco,New Zealand,20083
Jan,Almond Choco,UK,8365
Jan,Almond Choco,USA,4207
Jan,Baker's Choco Chips,Australia,742
Jan,Baker's Choco Chips,Canada,4879
Jan,Baker's Choco Chips,India,2261
Jan,Baker's Choco Chips,New Zealand,17535
Jan,Baker's Choco Chips,UK,8267
Jan,Baker's Choco Chips,USA,1470
Jan,Caramel Stuffed Bars,Australia,4039
Jan,Caramel Stuffed Bars,Canada,2366
Jan,Caramel Stuffed Bars,India,10353
Jan,Caramel Stuffed Bars,New Zealand,27741
Jan,Caramel Stuffed Bars,UK,13363
Jan,Caramel Stuffed Bars,USA,16737
Jan,Choco Coated Almonds,Australia,8533
Jan,Choco Coated Almonds,Canada,12005
Jan,Choco Coated Almonds,India,12250
Jan,Choco Coated Almonds,New Zealand,24654
Jan,Choco Coated Almonds,UK,5628
Jan,Choco Coated Almonds,USA,50414
Jan,Drinking Coco,Australia,15099
Jan,Drinking Coco,Canada,6573
Jan,Drinking Coco,India,17458
Jan,Drinking Coco,New Zealand,1239
Jan,Drinking Coco,UK,8505
Jan,Drinking Coco,USA,14434
Jan,Eclairs,Canada,343
Jan,Eclairs,India,25942
Jan,Eclairs,New Zealand,13979
Jan,Eclairs,UK,161
Jan,Eclairs,USA,12565
Jan,Fruit & Nut Bars,Australia,14574
Jan,Fruit & Nut Bars,Canada,1267
Jan,Fruit & Nut Bars,India,15470
Jan,Fruit & Nut Bars,New Zealand,5880
Jan,Fruit & Nut Bars,UK,26586
Jan,Fruit & Nut Bars,USA,30940
Jan,Manuka Honey Choco,Australia,13286
Jan,Manuka Honey Choco,India,20552
Jan,Manuka Honey Choco,New Zealand,5747
Jan,Manuka Honey Choco,USA,16226
Jan,Milk Bars,Australia,9646
Jan,Milk Bars,Canada,8246
Jan,Milk Bars,India,17640
Jan,Milk Bars,New Zealand,15785
Jan,Milk Bars,UK,9779
Jan,Milk Bars,USA,20986
Jan,Mint Chip Choco,Australia,3598
Jan,Mint Chip Choco,Canada,7840
Jan,Mint Chip Choco,India,19411
Jan,Mint Chip Choco,New Zealand,11942
Jan,Mint Chip Choco,UK,22428
Jan,Orange Choco,Australia,4109
Jan,Orange Choco,Canada,18690
Jan,Orange Choco,India,7833
Jan,Orange Choco,New Zealand,4312
Jan,Orange Choco,UK,31248
Jan,Orange Choco,USA,21238
Jan,Organic Choco Syrup,Australia,1036
Jan,Organic Choco Syrup,Canada,16422
Jan,Organic Choco Syrup,India,21161
Jan,Organic Choco Syrup,New Zealand,17710
Jan,Organic Choco Syrup,UK,20685
Jan,Organic Choco Syrup,USA,19075
Jan,Peanut Butter Cubes,Canada,6965
Jan,Peanut Butter Cubes,India,24234
Jan,Peanut Butter Cubes,New Zealand,6979
Jan,Peanut Butter Cubes,UK,7182
Jan,Peanut Butter Cubes,USA,3878
Jan,Raspberry Choco,Australia,10423
Jan,Raspberry Choco,Canada,4165
Jan,Raspberry Choco,New Zealand,24101
Jan,Raspberry Choco,UK,32515
Jan,Raspberry Choco,USA,14119
Jan,Smooth Sliky Salty,Australia,4991
Jan,Smooth Sliky Salty,Canada,33173
Jan,Smooth Sliky Salty,India,644
Jan,Smooth Sliky Salty,UK,15785
Jan,Smooth Sliky Salty,USA,49406
Jan,Spicy Special Slims,Canada,27188
Jan,Spicy Special Slims,India,17122
Jan,Spicy Special Slims,New Zealand,16093
Jan,Spicy Special Slims,UK,18781
Jan,Spicy Special Slims,USA,12992
Jan,White Choc,Australia,24101
Jan,White Choc,Canada,532
Jan,White Choc,India,24962
Jan,White Choc,New Zealand,6566
Jan,White Choc,UK,14504
Jan,White Choc,USA,6559
Feb,50% Dark Bites,Australia,17094
Feb,50% Dark Bites,Canada,25893
Feb,50% Dark Bites,India,18032
Feb,50% Dark Bites,New Zealand,427
Feb,50% Dark Bites,UK,12565
Feb,50% Dark Bites,USA,13839
Feb,70% Dark Bites,Australia,13524
Feb,70% Dark Bites,Canada,441
Feb,70% Dark Bites,India,7616
Feb,70% Dark Bites,New Zealand,32368
Feb,70% Dark Bites,UK,23023
Feb,70% Dark Bites,USA,13230
Feb,85% Dark Bars,Canada,28357
Feb,85% Dark Bars,India,13923
Feb,85% Dark Bars,New Zealand,29512
Feb,85% Dark Bars,UK,28532
Feb,85% Dark Bars,USA,14112
Feb,99% Dark & Pure,Australia,27265
Feb,99% Dark & Pure,Canada,19201
Feb,99% Dark & Pure,India,5663
Feb,99% Dark & Pure,New Zealand,1302
Feb,99% Dark & Pure,UK,14518
Feb,99% Dark & Pure,USA,10598
Feb,After Nines,Australia,23772
Feb,After Nines,India,30177
Feb,After Nines,New Zealand,7420
Feb,After Nines,UK,27384
Feb,After Nines,USA,29365
Feb,Almond Choco,Australia,2968
Feb,Almond Choco,Canada,20251
Feb,Almond Choco,India,1386
Feb,Almond Choco,New Zealand,735
Feb,Almond Choco,UK,1288
Feb,Almond Choco,USA,14525
Feb,Baker's Choco Chips,Australia,6454
Feb,Baker's Choco Chips,Canada,26831
Feb,Baker's Choco Chips,India,14868
Feb,Baker's Choco Chips,New Zealand,567
Feb,Baker's Choco Chips,UK,7700
Feb,Baker's Choco Chips,USA,7140
Feb,Caramel Stuffed Bars,Australia,29449
Feb,Caramel Stuffed Bars,Canada,9926
Feb,Caramel Stuffed Bars,India,21315
